Time,CO (MCS),Ethanol (MCS),VOC (MCS),NO2 (GM),Ethanol (GM),VOC (GM),CO (GM)
0.0,2.097,1.297,0.581,0.873,0.653,0.27,0.038
0.1,2.057,1.265,0.569,0.873,0.653,0.27,0.037
0.2,2.041,1.252,0.564,0.873,0.653,0.27,0.038
0.30000000000000004,2.075,1.279,0.575,0.872,0.653,0.271,0.038
0.4,2.048,1.258,0.566,0.873,0.653,0.27,0.038
0.5,2.038,1.249,0.563,0.873,0.653,0.27,0.038
0.6000000000000001,2.033,1.245,0.561,0.873,0.654,0.27,0.037
0.7000000000000001,2.032,1.244,0.561,0.873,0.654,0.27,0.038
0.8,2.031,1.244,0.561,0.874,0.653,0.271,0.038
0.9,2.031,1.243,0.561,0.874,0.653,0.271,0.038
1.0,2.031,1.243,0.561,0.875,0.653,0.272,0.038
1.1,2.03,1.243,0.561,0.875,0.654,0.273,0.038
1.2000000000000002,2.03,1.243,0.561,0.875,0.653,0.272,0.038
1.3,2.03,1.243,0.561,0.876,0.653,0.272,0.038
1.4000000000000001,2.03,1.243,0.561,0.875,0.653,0.272,0.038
1.5,2.03,1.243,0.561,0.876,0.654,0.273,0.038
1.6,2.03,1.243,0.561,0.876,0.653,0.273,0.037
1.7000000000000002,2.03,1.243,0.561,0.876,0.653,0.274,0.037
1.8,1.99,1.211,0.548,0.876,0.653,0.273,0.038
1.9000000000000001,2.055,1.263,0.568,0.877,0.654,0.274,0.038
2.0,2,1.219,0.551,0.877,0.653,0.274,0.038
2.1,2.018,1.234,0.557,0.877,0.653,0.274,0.038
2.2,1.986,1.207,0.547,0.877,0.653,0.275,0.037
2.3000000000000003,2.053,1.261,0.568,0.878,0.653,0.275,0.038
2.4000000000000004,2.039,1.25,0.563,0.878,0.654,0.274,0.038
2.5,2.034,1.246,0.562,0.877,0.653,0.275,0.038
2.6,1.992,1.212,0.548,0.877,0.654,0.275,0.038
2.7,2.015,1.231,0.556,0.877,0.653,0.276,0.038
2.8000000000000003,1.984,1.206,0.546,0.877,0.653,0.275,0.038
2.9000000000000004,2.012,1.228,0.555,0.877,0.653,0.276,0.037
3.0,2.023,1.237,0.558,0.877,0.654,0.276,0.038
3.1,2.068,1.273,0.572,0.878,0.654,0.276,0.038
3.2,2.086,1.288,0.578,0.877,0.653,0.276,0.038
3.3000000000000003,2.012,1.229,0.555,0.877,0.654,0.276,0.038
3.4000000000000004,1.983,1.206,0.546,0.878,0.654,0.276,0.038
3.5,2.012,1.228,0.555,0.877,0.653,0.276,0.038
3.6,1.983,1.205,0.546,0.878,0.653,0.276,0.038
3.7,1.971,1.196,0.542,0.878,0.654,0.277,0.038
3.8000000000000003,2.007,1.224,0.553,0.877,0.653,0.276,0.038
3.9000000000000004,1.981,1.204,0.545,0.878,0.653,0.277,0.038
4.0,1.971,1.196,0.542,0.877,0.654,0.277,0.038
4.1000000000000005,1.966,1.192,0.541,0.878,0.654,0.277,0.038
4.2,1.965,1.191,0.54,0.878,0.654,0.277,0.038
4.3,2.004,1.222,0.552,0.878,0.654,0.277,0.037
4.4,2.06,1.267,0.57,0.879,0.654,0.278,0.038
4.5,2.002,1.221,0.552,0.878,0.654,0.278,0.038
4.6000000000000005,2.1,1.3,0.582,0.878,0.654,0.278,0.037
4.7,2.018,1.234,0.557,0.877,0.654,0.278,0.038
4.800000000000001,1.986,1.208,0.547,0.877,0.655,0.278,0.038
4.9,1.972,1.197,0.542,0.878,0.654,0.278,0.038
5.0,1.967,1.193,0.541,0.878,0.655,0.278,0.038
5.1000000000000005,1.965,1.191,0.54,0.877,0.654,0.278,0.038
5.2,2.004,1.222,0.552,0.878,0.654,0.278,0.038
5.300000000000001,2.02,1.235,0.557,0.877,0.655,0.278,0.038
5.4,1.986,1.208,0.547,0.878,0.655,0.278,0.039
5.5,1.973,1.197,0.543,0.878,0.654,0.278,0.038
5.6000000000000005,1.967,1.193,0.541,0.878,0.655,0.278,0.037
5.7,1.965,1.191,0.54,0.877,0.655,0.278,0.038
5.800000000000001,1.964,1.19,0.54,0.877,0.654,0.278,0.037
5.9,1.924,1.159,0.527,0.876,0.654,0.278,0.037
6.0,1.908,1.146,0.522,0.875,0.654,0.278,0.037
6.1000000000000005,1.941,1.173,0.533,0.875,0.653,0.278,0.037
6.2,1.955,1.183,0.537,0.876,0.654,0.278,0.037
6.300000000000001,1.96,1.187,0.539,0.876,0.654,0.277,0.037
6.4,1.962,1.189,0.539,0.877,0.654,0.278,0.037
6.5,1.963,1.19,0.54,0.876,0.655,0.279,0.037
6.6000000000000005,1.884,1.128,0.515,0.877,0.654,0.278,0.037
6.7,1.932,1.165,0.53,0.877,0.654,0.278,0.038
6.800000000000001,1.951,1.18,0.536,0.877,0.654,0.279,0.037
6.9,1.959,1.186,0.538,0.876,0.655,0.279,0.038
7.0,1.962,1.188,0.539,0.876,0.655,0.279,0.037
7.1000000000000005,1.963,1.189,0.539,0.876,0.654,0.279,0.037
7.2,1.963,1.19,0.54,0.876,0.655,0.279,0.037
7.300000000000001,1.924,1.159,0.527,0.876,0.654,0.279,0.037
7.4,1.908,1.146,0.522,0.877,0.655,0.278,0.037
7.5,1.941,1.172,0.533,0.876,0.654,0.279,0.037
7.6000000000000005,1.955,1.183,0.537,0.877,0.654,0.279,0.037
7.7,1.96,1.187,0.539,0.876,0.655,0.279,0.037
7.800000000000001,1.922,1.158,0.527,0.876,0.654,0.279,0.037
7.9,1.907,1.146,0.522,0.876,0.655,0.28,0.038
8.0,1.901,1.141,0.52,0.877,0.655,0.28,0.038
8.1,1.899,1.139,0.52,0.877,0.655,0.279,0.037
8.200000000000001,1.938,1.17,0.532,0.876,0.655,0.28,0.038
8.3,1.993,1.214,0.549,0.877,0.656,0.28,0.038
8.4,1.936,1.168,0.531,0.876,0.655,0.28,0.038
8.5,1.913,1.15,0.524,0.876,0.655,0.28,0.037
8.6,1.904,1.143,0.521,0.877,0.656,0.28,0.038
8.700000000000001,1.9,1.14,0.52,0.876,0.656,0.28,0.038
8.8,1.898,1.139,0.519,0.877,0.655,0.281,0.037
8.9,1.898,1.138,0.519,0.877,0.655,0.281,0.037
9.0,1.898,1.138,0.519,0.877,0.656,0.281,0.037
9.1,1.897,1.138,0.519,0.877,0.655,0.281,0.038
9.200000000000001,1.897,1.138,0.519,0.876,0.656,0.281,0.038
9.3,1.897,1.138,0.519,0.876,0.655,0.281,0.037
9.4,1.897,1.138,0.519,0.877,0.655,0.28,0.038
9.5,1.897,1.138,0.519,0.877,0.656,0.281,0.037
9.600000000000001,1.897,1.138,0.519,0.876,0.655,0.281,0.037
9.700000000000001,1.897,1.138,0.519,0.877,0.655,0.281,0.037
9.8,1.897,1.138,0.519,0.876,0.655,0.281,0.037
9.9,1.897,1.138,0.519,0.876,0.656,0.282,0.038
10.0,1.897,1.138,0.519,0.877,0.655,0.282,0.038
10.100000000000001,1.897,1.138,0.519,0.876,0.655,0.282,0.038
10.200000000000001,1.897,1.138,0.519,0.876,0.655,0.281,0.037
10.3,1.897,1.138,0.519,0.877,0.655,0.282,0.037
10.4,1.897,1.138,0.519,0.876,0.655,0.282,0.038
10.5,1.897,1.138,0.519,0.877,0.655,0.282,0.037
10.600000000000001,1.897,1.138,0.519,0.876,0.654,0.282,0.037
10.700000000000001,1.937,1.169,0.531,0.877,0.655,0.282,0.037
10.8,1.913,1.15,0.524,0.876,0.656,0.282,0.038
10.9,1.944,1.174,0.533,0.876,0.656,0.282,0.037
11.0,1.916,1.152,0.525,0.877,0.656,0.282,0.037
11.100000000000001,1.905,1.144,0.521,0.877,0.657,0.282,0.037
11.200000000000001,1.9,1.14,0.52,0.877,0.656,0.282,0.037
11.3,1.899,1.139,0.519,0.877,0.656,0.282,0.037
11.4,1.858,1.107,0.507,0.877,0.655,0.282,0.038
11.5,1.882,1.126,0.514,0.877,0.656,0.283,0.038
11.600000000000001,1.891,1.133,0.517,0.876,0.656,0.283,0.038
11.700000000000001,1.895,1.136,0.518,0.877,0.657,0.284,0.037
11.8,1.896,1.137,0.519,0.877,0.656,0.283,0.037
11.9,1.897,1.137,0.519,0.876,0.656,0.284,0.038
12.0,1.897,1.138,0.519,0.877,0.656,0.284,0.038
12.100000000000001,1.937,1.169,0.531,0.877,0.656,0.284,0.037
12.200000000000001,1.913,1.15,0.524,0.876,0.656,0.283,0.037
12.3,1.904,1.143,0.521,0.877,0.656,0.283,0.037
12.4,1.9,1.14,0.52,0.876,0.656,0.284,0.036
12.5,1.898,1.139,0.519,0.876,0.656,0.283,0.037
12.600000000000001,1.898,1.138,0.519,0.876,0.655,0.284,0.038
12.700000000000001,1.898,1.138,0.519,0.877,0.656,0.283,0.037
12.8,1.819,1.077,0.495,0.877,0.656,0.284,0.038
